Index,Parcel List
568,19-05-15-1-002-012.003
569,19-05-15-1-002-012.004
570,19-05-15-1-002-013.000
571,19-05-15-1-002-014.000
572,19-05-15-1-002-015.000
573,19-05-15-1-002-016.000
574,19-05-15-1-002-017.000
575,19-05-15-1-002-018.000
576,19-05-15-1-002-018.001
577,19-05-15-1-002-019.000
578,19-05-15-1-002-020.000
579,19-05-15-1-002-020.001
580,19-05-15-1-002-021.000
581,19-05-15-1-002-022.000
582,19-05-15-1-002-023.000
583,19-05-15-1-002-023.001
584,19-05-15-1-002-023.002
585,19-05-15-1-002-023.003
586,19-05-15-1-002-024.000
587,19-05-15-1-002-025.000
588,19-05-15-1-002-026.000
589,19-05-15-1-002-027.000
590,19-05-15-1-002-028.000
591,19-05-15-1-002-029.000
592,19-05-15-1-002-030.000
593,19-05-15-1-002-031.000
594,19-05-15-1-002-032.000
595,19-05-15-1-002-033.000
596,19-05-15-1-002-034.000
597,19-05-15-1-002-034.001
598,19-05-15-1-002-034.002
599,19-05-15-1-003-001.000
600,19-05-15-1-003-002.000
601,19-05-15-1-003-003.000
602,19-05-15-1-003-004.000
603,19-05-15-1-003-005.000
604,19-05-15-1-003-006.000
605,19-05-15-1-003-007.000
606,19-05-15-1-003-008.000
607,19-05-15-1-003-009.000
608,19-05-15-1-003-010.000
609,19-05-15-1-003-011.000
610,19-05-15-1-003-012.000
611,19-05-15-1-003-013.000
612,19-05-15-1-003-014.000
613,19-05-15-1-003-015.000
614,19-05-15-1-003-016.000
615,19-05-15-1-003-017.000
616,19-05-15-1-003-018.000
617,19-05-15-1-003-019.000
618,19-05-15-1-003-020.000
619,19-05-15-1-003-021.000
620,19-05-15-1-003-022.000
621,19-05-15-1-003-022.001
622,19-05-15-1-003-023.000
623,19-05-15-1-003-024.000
624,19-05-15-1-003-025.000
625,19-05-15-1-003-025.001
626,19-05-15-1-003-026.000
627,19-05-15-1-003-027.000
628,19-05-15-1-003-028.000
629,19-05-15-1-003-029.000
630,19-05-15-1-003-030.000
631,19-05-15-1-003-031.000
632,19-05-15-1-003-032.000
633,19-05-15-1-003-033.000
634,19-05-15-1-003-034.000
635,19-05-15-1-003-035.000
636,19-05-15-1-003-036.000
637,19-05-15-1-003-036.001
638,19-05-15-1-003-037.000
639,19-05-15-1-003-038.000
640,19-05-15-1-003-039.000
641,19-05-15-1-003-040.000
642,19-05-15-1-003-041.000
643,19-05-15-1-003-042.000
644,19-05-15-1-003-043.000
645,19-05-15-1-004-001.000
646,19-05-15-1-004-002.000
647,19-05-15-1-004-003.000
648,19-05-15-1-004-004.000
649,19-05-15-1-004-005.000
650,19-05-15-1-004-006.000
651,19-05-15-1-004-007.000
652,19-05-15-1-004-008.000
653,19-05-15-1-004-009.000
654,19-05-15-1-004-010.000
655,19-05-15-1-004-011.000
656,19-05-15-1-004-012.000
657,19-05-15-1-004-013.000
658,19-05-15-1-004-013.001
659,19-05-15-1-004-014.000
660,19-05-15-1-004-015.000
661,19-05-15-1-004-016.000
662,19-05-15-1-004-017.000
663,19-05-15-1-004-018.000
664,19-05-15-1-004-019.000
665,19-05-15-1-004-020.000
666,19-05-15-1-004-021.000
667,19-05-15-1-004-022.000
668,19-05-15-1-004-023.000
669,19-05-15-1-004-024.000
670,19-05-15-1-004-025.000
671,19-05-15-1-004-026.000
672,19-05-15-1-004-027.000
673,19-05-15-1-004-028.000
674,19-05-15-1-004-029.000
675,19-05-15-1-004-030.000
676,19-05-15-1-004-031.000
677,19-05-15-1-004-032.000
678,19-05-15-1-004-032.001
679,19-05-15-1-004-033.000
680,19-05-15-1-004-034.000
681,19-05-15-1-004-035.000
682,19-05-15-1-004-036.000
683,19-05-15-1-004-037.000
684,19-05-15-1-004-038.000
685,19-05-15-1-004-039.000
686,19-05-15-1-004-040.000
687,19-05-15-1-004-041.000
688,19-05-15-1-004-042.000
689,19-05-15-1-004-043.000
690,19-05-15-1-004-044.000
691,19-05-15-1-004-045.000
692,19-05-15-1-004-046.000
693,19-05-15-1-004-047.000
694,19-05-15-1-004-048.000
695,19-05-15-1-004-049.000
696,19-05-15-1-004-050.000
697,19-05-15-1-004-051.000
698,19-05-15-1-004-052.000
699,19-05-15-1-004-053.000
700,19-05-15-1-004-053.001
701,19-05-15-1-004-055.000
702,19-05-15-1-004-056.000
703,19-05-15-1-004-057.000
704,19-05-15-1-004-058.000
705,19-05-15-1-004-059.000
706,19-05-15-1-004-060.000
707,19-05-15-1-004-061.000
708,19-05-15-1-004-062.001
709,19-05-15-1-004-063.000
710,19-05-15-1-004-063.001
711,19-05-15-2-001-001.000
712,19-05-15-2-001-002.000
713,19-05-15-2-001-003.000
714,19-05-15-2-001-004.000
715,19-05-15-2-001-005.000
716,19-05-15-2-001-006.000
717,19-05-15-2-001-007.000
718,19-05-15-2-001-008.000
719,19-05-15-2-001-009.000
720,19-05-15-2-001-010.000
721,19-05-15-2-001-011.000
722,19-05-15-2-001-012.000
723,19-05-15-2-001-013.000
